epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4176.1,1.67247,0.81992,0.00332,0.90188,0.92463,0.94629,0.57797,1.81752,0.79466,0.0049,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4306.23,1.68414,0.73026,0.00303,0.88506,0.89611,0.96,0.58194,1.78132,0.80171,0.0048,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4435.54,1.65378,0.76982,0.00315,0.88497,0.93457,0.95883,0.58816,1.80185,0.67833,0.0048,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4563.9,1.64514,0.72837,0.00335,0.94006,0.93217,0.9627,0.62472,1.89794,0.68376,0.00514,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4690.34,1.65468,0.71975,0.00325,0.88327,0.76322,0.87107,0.53086,1.80011,0.67703,0.00481,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4817.47,1.64379,0.73949,0.00315,0.9256,0.91807,0.94512,0.56231,1.79367,0.76527,0.00485,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4946.31,1.60626,0.70147,0.00298,0.90177,0.90567,0.94908,0.56346,1.82978,0.72922,0.00494,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5073.37,1.64836,0.68054,0.00312,0.78239,0.93424,0.92592,0.57976,1.69375,0.59346,0.00445,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5199.73,1.61795,0.6774,0.00327,0.91966,0.93049,0.95639,0.57173,1.80933,0.71916,0.00472,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5326.21,1.60842,0.69437,0.00305,0.95635,0.88151,0.94927,0.60135,1.6821,0.7304,0.00434,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5455.01,1.58275,0.65938,0.00308,0.93637,0.89402,0.95541,0.55716,1.83197,0.66491,0.00491,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5581.74,1.67027,0.66319,0.00303,0.90006,0.91002,0.95596,0.57026,1.82222,0.68224,0.00495,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5708.91,1.62982,0.6454,0.00289,0.89323,0.89926,0.94756,0.58434,1.68178,0.74021,0.0043,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5840.35,1.5982,0.65556,0.00307,0.94625,0.91609,0.95697,0.6015,1.77691,0.78935,0.00457,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5971.15,1.56312,0.63131,0.00317,0.92017,0.87991,0.94712,0.59486,1.79956,0.67546,0.00478,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
